TILE-NUMBER,RA,DEC
J-PAS_0,150.37432054260975,2.031560149119272
J-PAS_1,150.95123709099227,2.636784139054379
J-PAS_2,150.73243649365213,2.3142139767217627
J-PAS_3,150.5983835939692,2.5085357503535644
J-PAS_4,150.15603411958472,2.9078704160145574
J-PAS_5,150.1555243912724,2.249717104237614
J-PAS_6,150.05803972108527,2.4102643449606442
J-PAS_7,150.8658950056707,2.7550914561341973
J-PAS_8,150.60134367023878,2.2288185315936193
J-PAS_9,150.7077142553239,2.076620165725442
J-PAS_10,150.02049122076824,2.2902150700041264
J-PAS_11,150.9698377434533,2.1608037475448048
J-PAS_12,150.83237437883818,2.9296218957954205
J-PAS_13,150.21158997549966,2.808105297657051
J-PAS_14,150.18176081872647,2.633597147167316
J-PAS_15,150.1839181087687,2.8717735249181477
J-PAS_16,150.3041675516566,2.8033647085911304
J-PAS_17,150.5254712537998,2.1865865084510396
J-PAS_18,150.4319488878899,2.8925522970768918
J-PAS_19,150.29128416374272,2.5393021418012274
J-PAS_20,150.61169354416492,2.807288249902607
J-PAS_21,150.13948476252142,2.8959403485981783
J-PAS_22,150.2919466358178,2.3180330389240003
J-PAS_23,150.36629101628887,2.110469700357839
J-PAS_24,150.4553336037147,2.228238358889698
J-PAS_25,150.7855220961687,2.4265318468950317
J-PAS_26,150.19957859116,2.817911587904161
J-PAS_27,150.51384346294284,2.860514523065346
J-PAS_28,150.59210607557162,2.0074388723210306
J-PAS_29,150.04671032338476,2.5111005123261756
J-PAS_30,150.6077453163637,2.4170973776567743
J-PAS_31,150.17037842361333,2.2222437478488493
J-PAS_32,150.06471211303835,2.120063422453175
J-PAS_33,150.9488187801983,2.3375110545126416
J-PAS_34,150.96582952195462,2.943033110387932
J-PAS_35,150.8082970797371,2.323524968077245
J-PAS_36,150.30431347380457,2.518961714967517
J-PAS_37,150.0978368643558,2.702932973773146
J-PAS_38,150.68432361901833,2.363282070830298
J-PAS_39,150.44040916791158,2.9717307210163932
J-PAS_40,150.12189303400575,2.9627386863937324
J-PAS_41,150.49498125908613,2.251391056576374
J-PAS_42,150.03395612412257,2.4974168419899816
J-PAS_43,150.90896472725865,2.3013657526450984
J-PAS_44,150.2582016678756,2.2853117322575485
J-PAS_45,150.66258090031707,2.036860082601235
J-PAS_46,150.3115597096764,2.6096752051227723
J-PAS_47,150.5200575670938,2.502985495973866
J-PAS_48,150.5467420092457,2.0515205017392844
J-PAS_49,150.18475345213326,2.2786306460078003
J-PAS_50,150.21222844889743,2.528228901556791
J-PAS_51,150.3391368200427,2.9930541004459563
J-PAS_52,150.9915913401236,2.57266957428428
J-PAS_53,150.2436908072188,2.585313160149541
J-PAS_54,150.03728984536053,3.0273150437216834
J-PAS_55,150.5795217674417,2.364876012697356
J-PAS_56,151.11061668382507,1.9876213198308972
J-PAS_57,150.77444171534495,1.8402957468386747
J-PAS_58,150.5980856381251,2.8571921579430666
J-PAS_59,149.93604709127908,2.6684333718948507
J-PAS_60,150.66101011737882,2.7857116753389133
J-PAS_61,151.18607539014596,2.098149826112475
J-PAS_62,149.99611762133114,1.9909200658214776
J-PAS_63,150.52566151330922,1.8203625319350347
J-PAS_64,151.02832230069913,2.290822582329236
J-PAS_65,150.8370760648559,2.6258847615964864
J-PAS_66,150.77582203739337,2.3491416631396254
J-PAS_67,150.78347771758195,2.412464890833221
J-PAS_68,150.30328761170767,3.0658221722912478
J-PAS_69,150.21102858197028,2.2875576538326206
J-PAS_70,150.93310561766992,2.5195852848237354
J-PAS_71,150.93415875255084,2.8971142178376006
J-PAS_72,151.01390124601213,2.3551598952497783
J-PAS_73,151.07853677357906,2.670921380319023
J-PAS_74,150.5158793584053,3.0073091922454434
J-PAS_75,150.50212281256208,3.129328873120699
J-PAS_76,150.91761325055347,2.005902873300653
J-PAS_77,150.70994950308886,3.0972226752260923
J-PAS_78,150.78275362816078,2.4889628103113535
J-PAS_79,150.91410973721054,2.161542143618542
J-PAS_80,151.0460074785446,2.442790058733566
J-PAS_81,150.27319321959214,3.172045605399668
J-PAS_82,150.32581613369592,2.4896653315900177
J-PAS_83,149.93157471577723,2.2602522544025114
J-PAS_84,150.60959219739465,2.6867611960434163
J-PAS_85,149.85031918331546,2.1362038662894705
J-PAS_86,150.45183722538545,1.9062086593521295
J-PAS_87,150.5597024885906,1.980431610674909
J-PAS_88,150.2011577529796,1.9792641745408814
J-PAS_89,150.62716656479662,2.012663770917212
J-PAS_90,149.84270034991468,1.9943580417091742
J-PAS_91,149.85228746424892,2.6972246427245006
J-PAS_92,150.9516407849235,2.054632118158803
J-PAS_93,150.30426689797577,2.2839341966534086
J-PAS_94,149.97788471771264,3.0555037738684168
J-PAS_95,150.53114056407674,2.4635462963680212
J-PAS_96,150.87799097433805,2.734580833929438
J-PAS_97,150.1021494384956,2.041247819682282
J-PAS_98,150.6720466661466,2.069204626332139
J-PAS_99,149.9194864509913,1.8572160627730705
J-PAS_100,149.87235440963607,2.0365090883010306
J-PAS_101,150.54389648419541,2.190026474644742
J-PAS_102,150.55688917025415,2.0478146779874455
J-PAS_103,150.69240186209748,1.9241835472598778
J-PAS_104,150.81652786721173,1.968890219540841
J-PAS_105,151.16619291124755,2.4450902752458163
J-PAS_106,150.5228204876217,2.0888672057681097
J-PAS_107,150.25213906211775,2.3099778054673057
J-PAS_108,150.9132606726762,2.5047841791968
J-PAS_109,150.1791651517669,2.7665527600811117
J-PAS_110,150.4145599889879,1.8550369957775386
J-PAS_111,149.90983893387917,2.91917455847266
J-PAS_112,149.83549104078165,2.679060545287271
J-PAS_113,151.1477077805491,1.9144626447284208
J-PAS_114,150.9703721687171,3.0230100737494885
J-PAS_115,150.77436388853118,3.0892213607445385
J-PAS_116,150.37253412217999,1.8855091437968092
J-PAS_117,150.0426120480992,2.1876287074060854
J-PAS_118,150.01901185973952,2.928681791710286
J-PAS_119,150.15034005743044,2.8475635665371217
J-PAS_120,150.56891733058856,2.0583294270989283
J-PAS_121,150.80043429178008,2.0930890526713943
J-PAS_122,150.72427632740482,2.318660943907935
J-PAS_123,150.19190745572433,2.4783321792674298
J-PAS_124,151.13681139292845,2.6655566801424144
J-PAS_125,150.83305568337408,2.3164790953976815
J-PAS_126,150.57609567351597,2.4475486025864073
J-PAS_127,150.6564090447281,2.846459313387259
J-PAS_128,150.38744008739891,1.851356484046837
J-PAS_129,150.14682338530162,2.1534117220816293
J-PAS_130,150.29836175011178,2.7986894202383734
J-PAS_131,150.86098455465012,3.053289572762079
J-PAS_132,149.82015088408167,2.5163484189619325
J-PAS_133,149.9625016967097,2.544958879371442
J-PAS_134,149.86440369883047,1.9500408158756866
J-PAS_135,149.85702032324656,2.4263773135528366
J-PAS_136,150.9976448176154,2.5456641730370326
J-PAS_137,150.78512100313202,2.1394587050886216
J-PAS_138,150.46384336072225,2.1769405233291335
J-PAS_139,149.93696782491142,2.3281978283464717
J-PAS_140,150.48826222516357,1.828099676888817
J-PAS_141,150.4628604790928,2.2509108318164497
J-PAS_142,150.04248261787401,2.0960272097951624
J-PAS_143,150.40739230893317,2.2584962930490806
J-PAS_144,150.35790662815631,1.9676669845469517
J-PAS_145,150.66219013727311,3.046738193035853
J-PAS_146,150.6891311112147,2.631029434975668
J-PAS_147,149.86342561368087,2.7507432468022857
J-PAS_148,150.32445766047707,2.904839734050274
J-PAS_149,150.67620388199992,2.4978190785006804
J-PAS_150,150.50439076201212,1.9216884033223933
J-PAS_151,150.99908577766365,2.551949158545967
J-PAS_152,150.7221710842665,2.621577565229231
J-PAS_153,150.028108197914,2.8436152638580623
J-PAS_154,149.8987962463606,2.4043233647215514
J-PAS_155,150.69938698948883,1.9786124239137892
J-PAS_156,149.8371158347583,2.1972862681182144
J-PAS_157,150.62008581378285,2.3083152149580894
J-PAS_158,151.11632233799494,2.7042841378642417
J-PAS_159,150.60566384902623,2.5990896265364767
J-PAS_160,150.34343789668912,2.2985354162569847
J-PAS_161,150.7006035058193,3.181121348310172
J-PAS_162,150.4415540466881,2.648084747099642
J-PAS_163,150.56386350504232,2.1321175084303925
J-PAS_164,151.11805073228712,1.9424954616685652
J-PAS_165,150.34054369292107,2.0140027948580648
J-PAS_166,151.14566678935347,2.1443408197383116
J-PAS_167,151.06749089873847,2.024953922563378
J-PAS_168,150.07410758870503,2.0611938336718283
J-PAS_169,149.89710582122524,2.1991332361713862
J-PAS_170,149.9410892019284,2.0427230334126567
