NUMBER,TILE_ID,RA,DEC,MAG_AUTO_56,sglc_prob_star
293,2520,260.93384962119944,65.51686862840091,21.811832,1.0
298,2520,261.1304351735626,65.51645879088817,21.905365,1.0
329,2520,260.52013797454396,65.5181639098784,21.702269,0.0
339,2520,260.27570372208737,65.51800227399026,22.005997,0.0
358,2520,260.71142637197033,65.51871205275116,20.95999,1.0
363,2520,260.9713713367351,65.51684086465738,19.251015,1.0
366,2520,260.15601857936844,65.51832347202237,21.806723,0.0
373,2520,260.73925997453534,65.51906829530854,21.60823,0.001
377,2520,260.52802589221085,65.51871449218814,21.058199,0.0
383,2520,260.6245311651493,65.51936156864134,22.087088,1.0
400,2520,260.41741630087824,65.5194897821878,22.060585,0.0
424,2520,261.14428472305224,65.5182661774072,19.98094,1.0
430,2520,260.7337823317577,65.52029203476097,22.366877,1.0
446,2520,260.32386011847484,65.5204747083555,20.956123,1.0
447,2520,260.35814530631615,65.52058763086282,21.128447,1.0
453,2520,260.16530254902307,65.52034261609028,21.840624,0.0
456,2520,261.0153827123992,65.52050857879848,22.150257,1.0
463,2520,260.19075984400723,65.52054808332687,22.226086,0.0
464,2520,260.1692259121152,65.52046402061006,20.506327,1.0
470,2520,260.5967482527982,65.52124493902299,21.938818,1.0
490,2520,260.28316100775874,65.52097142083507,19.962013,1.0
504,2520,261.0945722196891,65.52046025548294,20.038563,1.0
512,2520,260.72327646172846,65.52238562503074,21.001657,1.0
517,2520,260.54120372228584,65.52240329129755,22.030174,0.0
519,2520,260.43734448554466,65.52242415802803,22.264492,0.094
525,2520,260.3923812823773,65.52244801147464,21.7578,1.0
529,2520,261.12603195954387,65.52175919573907,21.018625,1.0
533,2520,260.6056215538395,65.522807215737,22.173061,1.0
548,2520,260.71663141971715,65.52305257616001,21.311539,1.0
549,2520,260.76903152153574,65.52294072476498,21.953766,0.0
554,2520,260.91577381550894,65.52290237468392,20.846306,0.0
565,2520,260.2817570790697,65.5232242373378,22.324812,0.0
577,2520,260.79878917407694,65.51921241185144,18.33712,0.0
587,2520,260.8629903761409,65.52393905908112,21.978094,0.0
588,2520,260.79184120176757,65.5240785678973,21.528175,0.649
590,2520,260.9408619199906,65.5237854551219,21.671907,0.0
605,2520,260.63264178904205,65.52410363723877,21.948166,0.0
615,2520,260.5721595130294,65.52484250602025,21.866255,0.999
619,2520,260.15502245346653,65.52420212116101,22.20942,0.001
627,2520,260.7054977265548,65.52502888982963,22.476982,0.0
653,2520,261.1068151370843,65.52490826789969,22.028584,0.0
654,2520,260.7256136347174,65.5248005956759,19.925352,1.0
658,2520,260.1539745028726,65.52522991053429,21.89022,0.0
659,2520,260.7450429653392,65.52584122697704,21.921402,0.0
670,2520,260.9848364818479,65.52534488543807,21.085573,0.0
673,2520,260.87972690812063,65.5259201702252,21.168636,1.0
676,2520,260.99066618485494,65.52578869038638,21.58643,1.0
677,2520,260.96017394169,65.5240835473032,19.029902,1.0
688,2520,260.68332265001135,65.52646356397233,22.023006,0.0
696,2520,260.4101041120076,65.52658796963132,21.87923,1.0
697,2520,260.92719270959475,65.52638412005766,22.16153,0.0
714,2520,260.5073635994009,65.52695246026873,22.111767,0.0
717,2520,260.589153012321,65.52662054594002,20.977823,0.0
732,2520,260.8490576441074,65.52710334208602,22.192696,0.0
735,2520,260.8218047434359,65.52635640801698,20.399143,1.0
739,2520,260.5146080809491,65.5223332941057,16.499332,1.0
743,2520,260.52236194701317,65.52752810754599,22.427713,0.984
753,2520,261.1465287715848,65.52680374222771,22.442814,0.999
761,2520,260.5678296491862,65.52794510670911,21.978626,0.0
777,2520,260.8751173157718,65.52819352746312,22.471813,0.0
781,2520,260.76814591527153,65.52852591016666,22.37603,0.0
791,2520,260.4564915010719,65.5255306556507,21.34377,0.0
795,2520,261.0811200421367,65.52839512163695,21.899395,0.0
796,2520,260.1863610583515,65.52652808736549,20.018349,1.0
799,2520,260.3593010608275,65.52874066993694,21.525953,0.0
800,2520,260.531939826882,65.52901999977773,20.844053,1.0
814,2520,260.9847506373078,65.52841771727613,20.2323,1.0
821,2520,261.151877721541,65.5285625140253,21.9458,0.0
824,2520,260.3260799934746,65.52784360813955,19.316349,1.0
825,2520,260.30834584876146,65.52902032248195,22.425552,0.0
829,2520,260.44098299905863,65.52953016983153,22.10527,0.0
830,2520,261.0150165680869,65.52693107314855,18.324112,1.0
834,2520,261.0764466216146,65.52582153810211,17.975079,1.0
837,2520,261.13257641120583,65.52800358775093,19.951897,1.0
840,2520,260.44646149290287,65.52986059211166,22.228868,0.572
862,2520,260.8297771095985,65.52991766839038,21.650482,0.0
869,2520,260.71405402719614,65.5305134376944,22.353662,0.0
871,2520,260.76652443180296,65.53048018437933,21.816605,1.0
872,2520,260.6597144329436,65.53060890242136,22.387291,0.0
885,2520,260.8238108504604,65.53089078838919,22.023283,1.0
887,2520,260.278925034753,65.53070803352848,21.099346,1.0
888,2520,260.2962862895965,65.5306958622733,20.316021,1.0
894,2520,261.06466527454285,65.530012408252,20.90475,0.0
910,2520,261.02129968555124,65.5309162581426,21.75328,0.0
918,2520,260.6687290004263,65.52897600965842,18.368813,1.0
923,2520,260.4019464883943,65.53160234453216,21.936844,0.0
924,2520,260.3830728221203,65.5291084883537,18.559032,1.0
926,2520,260.6444842901106,65.52984147127083,19.05912,1.0
929,2520,260.66688957154315,65.53180089456096,22.289368,0.0
930,2520,260.6139800756915,65.51959769043384,14.686233,1.0
933,2520,260.26636431685614,65.5291975171165,20.652357,0.0
945,2520,260.4974068899482,65.53219414209165,21.445993,0.0
954,2520,260.3963084122387,65.53080739398601,20.31554,0.0
956,2520,260.16763912919,65.53182743714262,22.161642,0.0
969,2520,260.3422000735226,65.53265246439784,20.737415,1.0
978,2520,260.46340357432587,65.53297931253778,20.737316,1.0
994,2520,260.45666974606104,65.53323356738026,22.434265,0.0
1006,2520,260.94427409425595,65.52038314474794,17.387608,0.0
1008,2520,260.45068667520974,65.53353546475522,22.18248,0.009
1017,2520,260.50633233612893,65.53372515516489,21.331415,0.0
1029,2520,260.3503369262747,65.53380826018717,22.255257,0.997
1035,2520,260.69043015768483,65.53414800912158,21.568823,1.0
1047,2520,260.40151777504644,65.51831308282779,13.938438,1.0
1051,2520,260.3814841871441,65.53431401034793,22.146057,0.0
1059,2520,260.5451413699225,65.53461880655941,22.467112,0.0
1068,2520,261.04574131072894,65.53386132925752,20.253714,1.0
1073,2520,260.8285904413332,65.53478429900123,22.177929,0.0
1079,2520,261.0340514184184,65.52917700029006,17.12715,1.0
1090,2520,260.965083350849,65.53480088149526,22.102364,0.997
1091,2520,260.4159054139304,65.53509425458932,22.278055,0.0
1092,2520,260.2608336560683,65.5325044562574,18.279314,1.0
1097,2520,261.1642202715676,65.53429339513859,21.898636,0.0
1101,2520,260.3088533025042,65.53103066708451,17.423107,1.0
1113,2520,260.5005716053775,65.53548942525049,22.363083,0.99
1117,2520,261.06024402009893,65.53488690048688,21.271591,1.0
1121,2520,260.489579858743,65.5344843572279,19.973606,0.0
1122,2520,261.1850663013373,65.53459055805963,22.41954,0.0
1123,2520,260.76829715262255,65.53560301896135,22.155083,0.0
1136,2520,260.1799110146702,65.53533690332316,22.098183,0.0
1144,2520,260.3045845895022,65.53424456859727,20.994339,0.0
1152,2520,261.0611519619192,65.53565311140878,22.363176,1.0
1154,2520,260.97746843429366,65.535940314544,22.39466,0.002
1158,2520,260.54966179471575,65.53642111910045,22.293915,0.0
1164,2520,261.0332093983196,65.53434883109855,19.076347,1.0
1168,2520,260.89314390952603,65.52842126688842,16.688242,1.0
1173,2520,261.05775443724553,65.53604132610441,20.900082,1.0
1188,2520,260.81105128108845,65.53678705244263,22.306574,1.0
1194,2520,260.34067881898653,65.53510431218035,19.8769,1.0
1207,2520,260.68124772056365,65.53722209004546,21.968327,0.0
1211,2520,260.80037383019055,65.53068978403417,16.23519,1.0
1213,2520,260.2452454110587,65.53351538156421,17.922195,1.0
1218,2520,260.4703179006149,65.53630361869185,21.459282,0.0
1221,2520,260.4789400439034,65.53746688712386,22.34619,0.99
1222,2520,260.1865015166669,65.53157729340826,19.203505,0.237
1223,2520,261.1640745235864,65.53658352306485,21.319656,1.0
1229,2520,261.1183910652548,65.53684536011043,21.973465,0.0
1231,2520,260.5200462137833,65.53775331705803,22.38475,0.0
1237,2520,260.4496143221516,65.53776732361956,22.073385,1.0
1255,2520,260.33206407717614,65.53790211092556,21.168299,1.0
1262,2520,260.3196439329747,65.53803757813357,22.399084,0.003
1288,2520,260.3362432512377,65.53863501190476,21.83204,0.0
1289,2520,260.47441487014214,65.53880056646706,21.067904,0.946
1309,2520,260.18599369598763,65.53863168406964,21.25441,0.074
1322,2520,260.6269691209426,65.53937374459049,21.033203,1.0
1325,2520,260.9620040476963,65.53899060211354,22.49857,0.0
1326,2520,260.92198736177016,65.53911927355537,21.72364,1.0
1329,2520,260.49971733405164,65.53945170218756,22.067411,1.0
1330,2520,260.9704916128904,65.53013087452103,18.465862,0.0
1342,2520,260.80031251856764,65.53857666753936,20.076967,1.0
1346,2520,260.99184363265385,65.53935816923573,21.517422,1.0
1351,2520,260.8373205356548,65.53630827389321,18.737804,1.0
1358,2520,260.5856714999004,65.54008357392533,22.392153,1.0
1359,2520,260.8037847634264,65.53886084664522,20.579285,0.0
1366,2520,260.6160931478,65.53922728865102,19.560991,1.0
1370,2520,260.1994589071937,65.53643556063437,20.604498,0.0
1371,2520,260.59191886598785,65.53988373228098,21.940914,1.0
1392,2520,260.05170650964305,65.53969407647273,21.683872,0.0
1398,2520,260.6219977806529,65.53923289669606,19.561455,1.0
1401,2520,260.19255953549396,65.5352101001916,19.009554,1.0
1402,2520,260.1870157748804,65.54041698995044,22.475105,0.0
1412,2520,261.0809659923243,65.54006460954805,21.39847,0.0
1416,2520,260.8797291919242,65.54102522961085,22.289207,0.0
1419,2520,261.1125315506984,65.53691525983452,21.200527,0.0
1424,2520,260.32365722425226,65.53799598834982,18.058498,1.0
1428,2520,261.0625914858828,65.54074322424621,22.346272,0.0
1436,2520,260.74055617708876,65.54151949946665,21.450987,1.0
